date,temperature,humidity,luminosity
2022-11-17 15:10:01.613,24.7,35.1,135
2022-11-17 15:09:56.570,24.7,35.1,144
2022-11-17 15:09:51.527,24.7,35.1,141
2022-11-17 15:09:46.483,24.7,35.1,149
2022-11-17 15:09:41.440,24.7,35.1,149
2022-11-17 15:09:36.397,24.7,35.2,138
2022-11-17 15:09:31.355,24.7,35.1,130
2022-11-17 15:09:26.312,24.7,35.2,118
2022-11-17 15:09:21.269,24.7,35.2,117
2022-11-17 15:09:16.225,24.7,35.2,112
2022-11-17 15:09:11.181,24.7,35.2,114
2022-11-17 15:09:06.137,24.7,35.3,116
2022-11-17 15:09:01.093,24.7,35.1,119
2022-11-17 15:08:56.049,24.7,35.1,138
2022-11-17 15:08:51.006,24.7,35.1,116
2022-11-17 15:08:45.962,24.7,35.0,135
2022-11-17 15:08:40.919,24.7,34.9,135
2022-11-17 15:08:35.876,24.7,34.9,134
2022-11-17 15:08:30.832,24.7,35.0,134
2022-11-17 15:08:25.788,24.6,35.1,133
2022-11-17 15:08:20.744,24.6,35.0,131
2022-11-17 15:08:15.700,24.6,35.1,134
2022-11-17 15:08:10.657,24.6,35.0,133
2022-11-17 15:08:05.613,24.6,35.1,132
2022-11-17 15:08:00.570,24.6,35.0,130
2022-11-17 15:07:55.527,24.6,35.0,132
2022-11-17 15:07:50.484,24.6,35.1,159
2022-11-17 15:07:45.441,24.6,35.1,141
2022-11-17 15:07:40.397,24.6,35.0,140
2022-11-17 15:07:35.353,24.6,35.0,148
2022-11-17 15:07:30.308,24.6,35.0,129
2022-11-17 15:07:25.265,24.6,35.1,158
2022-11-17 15:07:20.221,24.6,35.0,151
2022-11-17 15:07:15.177,24.6,35.0,160
2022-11-17 15:07:10.134,24.6,35.0,162
2022-11-17 15:07:05.091,24.6,35.1,126
2022-11-17 15:07:00.049,24.6,35.1,127
2022-11-17 15:06:55.005,24.6,35.0,115
2022-11-17 15:06:49.962,24.6,35.1,114
2022-11-17 15:06:44.920,24.6,35.2,114
2022-11-17 15:06:39.876,24.6,35.2,118
2022-11-17 15:06:34.834,24.6,35.2,126
2022-11-17 15:06:29.791,24.6,35.2,129
2022-11-17 15:06:24.748,24.5,35.2,127
2022-11-17 15:06:19.705,24.6,35.2,126
2022-11-17 15:06:14.663,24.5,35.2,125
2022-11-17 15:06:09.619,24.5,35.3,131
2022-11-17 15:06:04.576,24.6,35.3,122
2022-11-17 15:05:59.533,24.6,35.2,131
2022-11-17 15:05:54.489,24.5,35.2,131
2022-11-17 15:05:49.446,24.5,35.2,130
2022-11-17 15:05:44.403,24.5,35.2,120
2022-11-17 15:05:39.360,24.5,35.2,115
2022-11-17 15:05:34.316,24.5,35.1,114
2022-11-17 15:05:29.273,24.5,35.1,115
2022-11-17 15:05:24.229,24.5,35.0,118
2022-11-17 15:05:19.185,24.5,35.0,114
2022-11-17 15:05:14.141,24.5,35.1,115
2022-11-17 15:05:09.098,24.5,35.2,115
2022-11-17 15:05:04.054,24.5,35.3,115
2022-11-17 15:04:59.010,24.5,35.2,114
2022-11-17 15:04:53.967,24.5,35.2,126
2022-11-17 15:04:48.924,24.5,35.3,128
2022-11-17 15:04:43.880,24.5,35.2,127
2022-11-17 15:04:38.837,24.5,35.3,129
2022-11-17 15:04:33.793,24.5,35.2,127
2022-11-17 15:04:28.751,24.5,35.2,129
2022-11-17 15:04:23.707,24.5,35.0,130
2022-11-17 15:04:18.665,24.5,35.0,130
2022-11-17 15:04:13.622,24.5,34.8,131
2022-11-17 15:04:08.578,24.4,34.8,121
